Species	Taxon Group	Common Name	Estimated Genome Size (Mb)	Log Estimated Genome Size 	Assembly Genome Size (Mb)	Log Assembly Genome Size	Genome Size in Database (Mb)	Additional Measurements (Mb)	Difference Between Estimated and Assembly Size (Mb)	Log Difference Between Estimated and Assembly Size	(Est-Ass/Est)*100	Genomic GC content (%)	Gene Number	Log Gene Number	Average Coding Size/Gene (Exonic bp)	Log Average Coding Size	Coding Amount(Exonic Mb)	Log Coding Amount	Coding Proportion of Estimated Genome Size 	Pseudogene Number	Average Exon Size (bp)	Log Average Exon Size	Average Intron Size (bp)	Log Average Intron Size	Intron Number	Log Intron Number	Intron Amount (Mb)	Log Intron Amount	Introns Proportion Of Assembly	Introns Proportion of Estimate	TE Amount in Assembly (Mb)	Log TE Amount in Assembly	TE Number	Log TE Number	TE Proportion of Estimate	TE Proportion of Assembly	Repeat Amount in Assembly (Mb)	Log Repeat Amount in Assembly	Repeats Prop of Assembly	Repeats Proportion of Estimated Genome Size	Chromosome Number (1n)	Estimated Genome Size/Chromosome Number	Coverage (x)
Dictyostelium purpureum	Protist		33	1.5185139399	33	1.5185139399	NA				?		12410	4.0937717815	1495.22	3.1747050975	18.555	1.2684609587	0.5622727273		595.25	2.7746994041	177	2.2479732664							3.4	0.531478917			0.103030303	0.103030303							
Naegleria gruberi	Protist		41	1.6127838567	41	1.6127838567	NA				?	33	15727	4.1966458868																							2.091	0.3203540328	0.051	0.051	12	3.4166666667	
Thalassiosira oceanica	Protist		79.5	1.9003671287	81.6	1.9116901588	NA	79.5	-2.1		-2.641509434	53.3	10109	4.0047081965																													8.7
Neospora caninum	Protist		61	1.785329835	61	1.785329835	NA				?	54.8	7121	3.8525409858	2553	3.4070508148	18.117	1.2580862843	0.297																						14	4.3571428571	
Emeliania huxleyi	Protist		141.7	2.1513698502	141.7	2.1513698502	NA				?	65	30579	4.4854232789	1129	3.0526939419	29	1.4623979979	0.2046577276		365	2.5622928645	242	2.383815366	70248	4.8466339641	17	1.2304489214	0.1199717713	0.1199717713	5.8097	0.764153707			0.041	0.041	52.9958	1.7242414524	0.374	0.374			
Chondrus crispus	Protist		105	2.0211892991	105	2.0211892991	NA				?		9606	3.9825425823	1041.48	3.0176509344	9.967	0.9985644583	0.0949238095		789	2.8970770032	182	2.260071388	3066	3.4865721505	0.559453	-0.252236393	0.0053281238	0.0053281238	82	1.9138138524			0.780952381	0.780952381							
Monosiga brevicollis	Protist		41.6	1.6190933306	41.6	1.6190933306	NA				?	55	9196	3.9635989626	1855.6	3.2684843638	17.064	1.2320808424	0.4101923077				174	2.2405492483	60636	4.7827305443	10.551	1.023293623	0.2536298077	0.2536298077											40	1.04	
Aureococcus anophagefferens	Protist		56	1.748188027	56	1.748188027	NA				?		11501	4.0607356034	1601	3.2043913319	18.413	1.2651245532	0.3288035714		694	2.8413594705	412	2.614897216																			
Pythium ultimum	Protist		42.8	1.631443769	42.8	1.631443769	NA				?	52.3	15297	4.1846062667							498	2.6972293428	115	2.0606978404							1.67	0.2227164711			0.0390186916	0.0390186916	3.325	0.5217916496	0.0776869159	0.0776869159			
Paramecium tetraurelia	Protist		72	1.8573324964	72	1.8573324964	NA				?	28	39642	4.5981555572	1362	3.1341771076	55.44	1.7438232216	0.77		412.72	2.6156555149	25	1.3979400087	86400	4.9365137425	2.16	0.3344537512	0.03	0.03													
Tetrahymena thermophila	Protist		104	2.0170333393	104	2.0170333393	NA				?	22.3	27424	4.4381308002	1989	3.2986347831	49.184	1.6918238458	0.4729230769		430.6	2.6340740255	165.2	2.218010043	89490	4.9517745081	14.784	1.1697919539	0.1421538462	0.1421538462													
Ichthyophthirius multifiliis	Protist		50	1.6989700043	50	1.6989700043	NA				?	15.9	8096	3.9082704995	1243	3.0944711286	10.66	1.0277572047	0.2132		361.8	2.5584685625	152.8	2.1841233542	21380	4.3300077009	3.266	0.5140161804	0.06532	0.06532													
Cryptosporidium parvum	Protist		9.1	0.9590413923	9.1	0.9590413923	NA				?	30.3	3807	3.5805828768	1922.8	3.2839341135	7.007	0.8455321175	0.77		1748	3.2425414283	96	1.982271233			0.00182	-2.739928612	0.0002	0.0002											8	1.1375	
Cryptosporidium hominis	Protist		9.2	0.9637878273	9.2	0.9637878273	NA				?	31.7	3994	3.6014080605	1576	3.1975562132	6.29	0.7986506454	0.6836956522																						8	1.15	
Theileria parva	Protist		8.3	0.9190780924	8.3	0.9190780924	NA				?	34.1	3796	3.5793262038	1387.8	3.1423268832	5.68	0.7543483357	0.6843373494		514	2.710963119	94	1.9731278536	10595	4.025100961	0.996	-0.0017406616	0.12	0.12											4	2.075	
Theileria annulata	Protist		8.35	0.9216864755	8.35	0.9216864755	NA				?	32.5	4082	3.6108730004	1407	3.1482940974	6.08	0.7839035793	0.7281437126		416	2.6190933306	70	1.84509804	10735	4.0308020488	0.7515	-0.1240710151	0.09	0.09											4	2.0875	
Babesia bovis	Protist		8.2	0.9138138524	8.2	0.9138138524	NA				?	41.8	3706	3.568905415	1514	3.1801258752	5.76	0.7604224834	0.7024390244		547	2.7379873263	60	1.7781512504	6833	3.8346114207	0.41	-0.3872161433	0.05	0.05											4	2.05	
Plasmodium cynomolgi	Protist		26.2	1.4183012913	26.2	1.4183012913	NA				?	40.4	5722	3.7575478535																											14	1.8714285714	
Plasmodium vivax	Protist		26.9	1.42975228	26.9	1.42975228	NA				?	42.3	5433	3.735039705	2392.5	3.3788519464	12.998	1.1138765326	0.483197026		957	2.9809119378	192	2.2833012287																	14	1.9214285714	
Plasmodium knowlesi	Protist		23.7	1.374748346	23.7	1.374748346	NA				?	38.8	5188	3.7149999674	2175.68	3.3375950195	11.287	1.052578525	0.4762447257		836.8	2.9226216715	224.4	2.3510228526					0	0											14	1.6928571429	
Plasmodium falciparum	Protist		22.9	1.3598354823	22.9	1.3598354823	NA				?	19.4	5403	3.7326349675	2244	3.3510228526	12.124	1.0836459277	0.5294323144	5179	949	2.9772662124	178.7	2.2521245525	7406	3.8695837077	1.32	0.1205739312	0.0576419214	0.0576419214											14	1.6357142857	
Plasmodium yoelii	Protist		23.1	1.3636119799	23.1	1.3636119799	NA				?	22.6	5878	3.7692295817	1282	3.1078880252	7.535	0.8770832567	0.3261904762		641	2.8068580295	209	2.3201462861	8086	3.907733737	1.69	0.2278867046	0.0731601732	0.0731601732													
Giardia lamblia	Protist		11.7	1.0681858617	11.7	1.0681858617	NA				?	49	6470	3.8109042807	1283	3.1082266564	9.009	0.9546765869	0.77						4	0.6020599913															5	2.34	
Giardia intestinalis B Isolate GS	Protist		11.7	1.0681858617	11.7	1.0681858617	NA				?		4470	3.6503075231											4	0.6020599913															5	2.34	
Leishmania major	Protist		32.82	1.5161385767	32.82	1.5161385767	NA				?	59.7	8272	3.9176105257	1901	3.2789821169	15.72	1.1964525417	0.478976234	97																					36	0.9116666667	
Leishmania infantum	Protist		32.13	1.5069107256	32.13	1.5069107256	NA				?	59.3	8298	3.9189734305						41																					36	0.8925	
Leishmania braziliensis	Protist		32	1.5051499783	32	1.5051499783	NA				?	57.76	8153	3.9113174423						161																					35	0.9142857143	
Nannochloropis gaditana	Protist		29	1.4623979979	29	1.4623979979	NA				?	54.2	8892	3.948999454	1069	3.0289777052	9.506	0.97799781	0.3277931034				220	2.3424226808																	30	0.9666666667	
Cyanophora paradoxa	Protist		70	1.84509804	70	1.84509804	NA				?		27921	4.4459309686																													
Pyropia yezoensis	Protist		43.48	1.6382895354	43.48	1.6382895354	260				?	63.6	10327	4.013974177	849	2.9289076902	8.767	0.9428510066	0.2016329347		634	2.8020892579	304	2.4828735836	3098	3.4910814134	0.9418	-0.0260413139	0.0216605336	0.0216605336							0.61	-0.214670165	0.0140294388	0.0140294388	3	14.4933333333	
Salpingoeca rosetta	Protist	choanoflagellate	55	1.7403626895	55	1.7403626895	NA				?	56.01	11629	4.0655423705											88594	4.9474043104															33	1.6666666667	
Gracilariopsis lemaneiformis	Protist		196	2.2922560714	97.17	1.9875322027	196	160	98.83	1.9948887954	50.4234693878	48	3490	3.542825427	1369	3.1364034481	4.777	0.6791552413	0.024372449		1008.36	3.0036156096	191	2.2810333672							44.35	1.6468936242			0.2262755102	0.4564165895					32	6.125	113.98
Oxytricha trifallax JRB310	Protist		50	1.6989700043	50	1.6989700043	NA				?		17040	4.2314695904	1695	3.2291697025	28.882	1.4606272637	0.57764		790	2.8976270913	93	1.9684829486	23799	4.376558709	2.213	0.3449814139	0.04426	0.04426							0.624	-0.2048154103	0.01248	0.01248			
Stylonychia lemnae	Protist		50.2	1.7007037171	50.2	1.7007037171	NA				?		15102	4.1790344659							728	2.8621313793	89	1.9493900066	22048	4.3433692002	1.962	0.292699003	0.0390836653	0.0390836653													
Picochlorum SE3	Protist	halotolerant alga	13.5	1.1303337685	13.5	1.1303337685	NA				?	46.1	7367	3.8672906699											5795	3.7630534403																	
Saccharomyces arboricolus	Fungi		11.6	1.0644579892	11.6	1.0644579892	NA				?		5423	3.7342396044																											16	0.725	
Saccharomyces cerevisiae S288C	Fungi		12.16	1.0849335749	12.16	1.0849335749	11.9				?	38.3	6607	3.8200043068	1464	3.1655410767	8.5	0.9294189257	0.6990131579	19	1274	3.105169428	235	2.3710678623	348	2.5415792439					0.377	-0.4236586498	90	1.9542425094	0.0310032895	0.0310032895					16	0.76	
Schizosaccharomyces pombe	Fungi		12.5	1.096910013	12.5	1.096910013	13.37				?	36	4479	3.6511810624						33			82.23	1.9150302903	3171	3.501196242	0.3877	-0.411504199	0.031016	0.031016											3	4.1666666667	
Schizosaccharomyces octosporus	Fungi		11.5	1.0606978404	11.5	1.0606978404	NA				?		4308	3.6342756946											2918	3.4650852876															3	3.8333333333	
Schizosaccharomyces cryophilus	Fungi		11.5	1.0606978404	11.5	1.0606978404	NA				?		4443	3.6476763132											2972	3.4730488051															3	3.8333333333	
Schizosaccharomyces japonicus	Fungi		11.5	1.0606978404	11.5	1.0606978404	14				?		4478	3.6510840892											3395	3.5308397786															3	3.8333333333	
Ashbya gossypii	Fungi		8.7	0.9395192526	8.7	0.9395192526	9.15				?	52	4718	3.6737579365	1473	3.1682027468	6.97	0.8432327781	0.8011494253				111.04	2.0454794531	226	2.3541084391	0.025316	-1.596604913	0.0029098851	0.0029098851											7	1.2428571429	
Candida dubliniensis	Fungi		14.6	1.1643528558	14.6	1.1643528558	15.3				?	34.8	5758	3.7602716605	1521.1	3.1821577663	8.797	0.944334592	0.6025342466	115	1435	3.1568519011	161	2.206825876	372	2.5705429399	0.059	-1.2291479884	0.0040410959	0.0040410959											13	1.1230769231	
Candida guilliermondii	Fungi		10.6	1.0253058653	10.6	1.0253058653	16				?	43.8	5920	3.7723217067																													
Dekkera bruxellensis  CBS2499	Fungi		13	1.1139433523	13	1.1139433523	NA				?	39.9	5600	3.748188027	1536.48	3.1865269115	8.604	0.9347004017	0.6618461538		1067	3.0281644194	216	2.3344537512																	7	1.8571428571	
Candida lusitaniae	Fungi		12.1	1.0827853703	12.1	1.0827853703	16				?	44.5	5941	3.7738595524																													
Candida parapsilosis	Fungi		13.1	1.1172712957	13.1	1.1172712957	13.1				?	38.7	5733	3.7583819418																													
Candida tropicalis	Fungi		14.5	1.1613680022	14.5	1.1613680022	15				?	33.1	6258	3.7964355588																													
Lachancea/ K. thermotolerans	Fungi		10.39	1.0166155476	10.39	1.0166155476	10.495				?	47.3	5094	3.7070589406	1476	3.1690863575	7.51	0.875639937	0.7228103946																						8	1.29875	
Lodderomyces elongisporus	Fungi		15.4	1.1875207208	15.4	1.1875207208	16				?	37	5802	3.7635777245																													
Saccharomyces bayanus	Fungi		11.54	1.0622058088	11.54	1.0622058088	11.47				?		9344	3.9705328298																													
Saccharomyces mikatae	Fungi		12.12	1.0835026198	12.12	1.0835026198	11.6				?		8972	3.9528892649																											16	0.7575	
Saccharomyces paradoxus	Fungi		11.75	1.0700378666	11.75	1.0700378666	11.66				?		8908	3.9497802084																											16	0.734375	
Scheffersomyces/Pichia stipitis	Fungi		15.4	1.1875207208	15.4	1.1875207208	15.4				?	41.1	5841	3.7664872062	1479	3.169968174	8.639	0.936463474	0.560974026																						8	1.925	
Magnaporthe grisea	Fungi	rice blast fungus	40.3	1.6053050461	40.3	1.6053050461	39.88				?	51.6	11109	4.0456749668									142.91	2.1550626192	21040	4.3230457355	3.006	0.4779889763	0.0745905707	0.0745905707	2.94593	0.4692224231			0.0731	0.0731	2.95802	0.4710011061	0.0734	0.0734	7	5.7571428571	
Laccaria bicolor	Fungi		60	1.7781512504	60	1.7781512504	63.53				?	46.6	20614	4.3141622717	1134	3.0546130546	23.376	1.3687701986	0.3896		210	2.3222192947	92.7	1.9670797341	90196	4.9551872779	8.361	0.9222582234	0.13935	0.13935	14.4	1.1583624921			0.24	0.24							
Eremothecium cymbalariae	Fungi		9.669	0.9853815602	9.669	0.9853815602					?		4712	3.6732052818									172.7	2.2372923376	232	2.3654879849	0.04071	-1.3902988976	0.004210363	0.004210363											8	1.208625	
Magnaporthe oryzae P131	Fungi		37.95	1.5792117802	37.95	1.5792117802	39.88				?	51.48	12722	4.1045553912	1334.4	3.1252860333	17.18	1.2350231595	0.4527009223																		3.92403	0.593732319	0.1034	0.1034	7	5.4214285714	
Heterobasidion annosum/irregulare 	Fungi	white rot fungus	33.6	1.5263392774	33.6	1.5263392774	33.6				?		11464	4.0593361774	1137	3.0557604647	13.0345	1.1150943764	0.3879315476		232	2.3654879849	82	1.9138138524							5.44	0.7355988997			0.1619047619	0.1619047619					17	1.9764705882	
Enchephalitozoon cuniculi 	Fungi		2.9	0.4623979979	2.9	0.4623979979	NA				?	47	1999	3.3008127941	1017	3.0073209529	2.0329	0.3081160159	0.701						36	1.5563025008															11	0.2636363636	
Coprinopsis cinerea 	Fungi		37	1.5682017241	37	1.5682017241	37.5				?	51.6	13342	4.1252209363	1352	3.1309766916	18.038	1.2561883826	0.4875135135		251	2.3996737215	75	1.8750612634	62207	4.7938392575	4.48	0.651278014	0.1210810811	0.1210810811	0.925	-0.0338582673			0.025	0.025					13	2.8461538462	
Tuber melanosporum	Fungi	black Perigord truffle	125.53	2.0987475288	125.53	2.0987475288	123.59				?	52.02	7496	3.8748295779	2073	3.3165993021	15	1.1760912591	0.1194933482	241	340	2.531478917	107	2.0293837777	23084	4.3633110656	2.47	0.3926969533	0.0196765713	0.0196765713	72.16	1.8582965245			0.5748426671	0.5748426671					8	15.69125	
Cryptococcus neoformans JEC21	Fungi		19	1.278753601	19	1.278753601					?	48.6	6572	3.8176975548	1968	3.2940250941	12.933	1.1116992776	0.6806842105		255	2.4065401804	67	1.8260748027	34909	4.5429374082	2.338	0.3688445068	0.1230526316	0.1230526316	0.95	-0.0222763947			0.05	0.05					14	1.3571428571	
Candida albicans	Fungi		15.845	1.1998922435	15.845	1.1998922435	15.652				?	35.1	6176	3.7907072873	1454.426	3.1626916296	9.007	0.9545801627	0.5684443042	8	1372.1	3.1373857643	166.7	2.2219355998	389	2.5899496013	0.064861	-1.1880163598	0.004093468	0.004093468											8	1.980625	
Trachipleistophora hominis 	Fungi		11.6	1.0644579892	8.5	0.9294189257	NA	11.6	3.1	0.4913616938	26.724137931	34	3266	3.5140161804	884.87	2.9468794713	2.89	0.4608978428	0.249137931						78	1.8920946027							110	2.0413926852									32.5
Neurospora crassa	Fungi		38.64	1.5870371177	38.64	1.5870371177	40.198				?	50	10082	4.0035466931	1443	3.1592663311	17.0016	1.2304897942	0.44				135.7	2.1325798477	17231	4.2363104824	2.339	0.3690302218	0.0605331263	0.0605331263	1.78	0.2504200023			0.0460662526	0.0460662526	3.864	0.5870371177	0.1	0.1	7	5.52	
Leptosphaeria maculans	Fungi		45.1	1.6541765419	45.1	1.6541765419	44.89				?	44.1	12469	4.0958316249																	13.48	1.1296898922			0.2988913525	0.2988913525	15.43	1.1883659261	0.3421286031	0.3421286031	18	2.5055555556	
Macrophomina phaseolina	Fungi		49.29	1.6927588182	49.29	1.6927588182	NA				?		14249	4.1537843865						925											6.82	0.8337843747	1976	3.2957869403	0.1383647799	0.1383647799	3.98	0.5998830721	0.0807466017	0.0807466017	8	6.16125	
Phaeosphaeria/Stagonospora nodorum	Fungi		37.16	1.5700757053	37.16	1.5700757053	37.1				?	50.3	10762	4.0318929877									82.2	1.9148718175	27420	4.4380674505	2.253	0.3527611917	0.0606297094	0.0606297094	0.52	-0.2839966564			0.0139935414	0.0139935414	1.6796	0.225205866	0.0451991389	0.0451991389	20	1.858	
Microsporum canis	Fungi		23.2	1.3654879849	23.2	1.3654879849	NA				?	47.5	8915	3.9501213475	1459	3.1640552919	13.006	1.1141437497	0.5606034483		454.5	2.6575338876	80	1.903089987							0.367	-0.4353339357			0.0158189655	0.0158189655	0.563	-0.2494916051	0.0242672414	0.0242672414			
Microsporum gypseum	Fungi		23.2	1.3654879849	23.2	1.3654879849	NA				?	48.5	8907	3.9497314523	1436	3.1571544399	12.79	1.1068705445	0.5512931034		455.87	2.658841013	85	1.9294189257							0.112	-0.9507819773			0.0048275862	0.0048275862	0.356	-0.448550002	0.0153448276	0.0153448276	5	4.64	
Trichophyton rubrum	Fungi		22.5	1.3521825181	22.5	1.3521825181	33.01				?	48.31	8707	3.9398685445	1393	3.1439511164	12.129	1.0838249961	0.5390666667		449.35	2.652584746	76	1.8808135923							0.142	-0.8477116556			0.0063111111	0.0063111111	0.389	-0.4100503987	0.0172888889	0.0172888889	5	4.5	
Trichophyton equinum	Fungi		24.1	1.3820170426	24.1	1.3820170426	NA				?	47.39	8679	3.9384696884	1371	3.1370374548	11.899	1.0755104645	0.4937344398		428.43	2.6318798739	96	1.982271233							1.42	0.1522883444			0.0589211618	0.0589211618	1.73	0.2380461031	0.0717842324	0.0717842324			
Trichophyton tonsurans	Fungi		23	1.361727836	23	1.361727836	NA				?	48.15	8523	3.9305924884	1409	3.1489109931	12.009	1.0795068448	0.5221304348		440.3	2.6437486855	89	1.9493900066							0.58	-0.2365720064			0.0252173913	0.0252173913	0.851	-0.0700704399	0.037	0.037			
Trichophyton verrucosum	Fungi		22.5	1.3521825181	22.5	1.3521825181	NA				?	48.24	8024	3.90439092	1468	3.1667260556	11.779	1.0711084218	0.5235111111		564.6	2.7517408738	84	1.9242792861							0.155	-0.8096683018			0.0068888889	0.0068888889	0.479	-0.3196644866	0.0212888889	0.0212888889			
Arthroderma benhamiae	Fungi		22.2	1.3463529745	22.2	1.3463529745	22.22				?	48.75	7980	3.9020028914	1483	3.171141151	11.834	1.0731315649	0.5330630631		570.38	2.7561642889	83	1.9190780924							0.0019	-2.721246399			8.55855855855856E-05	8.55855855855856E-05	0.297	-0.5272435507	0.0133783784	0.0133783784			
Aspergillus nidulans	Fungi		30.06	1.4779889763	30.06	1.4779889763	NA				?	50	9541	3.9795938958			15.03	1.1769589806	0.5		436	2.6394864893	101.58	2.0068082085	25585	4.4079854213	2.599	0.4148062795	0.0864604125	0.0864604125	0.39078	-0.4080676714			0.013	0.013					8	3.7575	
Aspergillus oryzae	Fungi		37	1.5682017241	37	1.5682017241	37.455				?	48	14063	4.1480779768			16.65	1.2214142378	0.45												1.11	0.0453229788			0.03	0.03					8	4.625	
Paracoccidioides lutzii	Fungi		32.9	1.5171958979	32.9	1.5171958979	NA				?	42.8	9132	3.9605659028	1330	3.123851641	12.146	1.0844332768	0.3691793313		324	2.5105450102	126	2.1003705451	28309.2	4.4519275967	3.566	0.5521813388	0.1083890578	0.1083890578	5.264	0.7213158806			0.16	0.16							
Paracoccidioides brasiliensis Pb18	Fungi		30	1.4771212547	30	1.4771212547					?	44.4	8741	3.9415611202	1346	3.1290450599	11.765	1.0705919315	0.3921666667		354	2.549003262	132	2.1205739312	24474.8	4.3887191516	3.2306	0.5092831887	0.1076866667	0.1076866667	2.55	0.4065401804			0.085	0.085	2.76	0.4409090821	0.092	0.092	5	6	
Penicillium chrysogenum	Fungi		32.19	1.5077209767	32.19	1.5077209767	34				?	48.9	12943	4.1120349512	1302	3.1146109842	18.22	1.2605483726	0.5660142902	592	434	2.6374897295	87.4	1.9415114326	28318	4.4520625774	2.475	0.3935752033	0.0768872321	0.0768872321	0.119	-0.9244530386	559	2.7474118079	0.0036968002	0.0036968002	0.463536	-0.3339165312	0.0144	0.0144	4	8.0475	
Penicillium digitatum Strain PHI26	Fungi		26	1.414973348	26	1.414973348	NA				?	48.9	9153	3.9615634624	1387	3.1420764611	12.695	1.1036327052	0.4882692308		521.4	2.7171710268									0.1274	-0.894830572			0.0049	0.0049	0.3614	-0.4420118518	0.0139	0.0139			
Metarhizium acridum	Fungi		38	1.5797835966	38	1.5797835966	NA				?	49.91	9849	3.9933921374						440	548.5	2.7391766319	112.2	2.0499928569													0.5776	-0.2383728154	0.0152	0.0152			
Metarhizium anisopliae	Fungi		39	1.591064607	39	1.591064607					?	51.49	10582	4.0245677572						363																	0.3822	-0.4177093173	0.0098	0.0098			
Podospora anserina	Fungi		36	1.5563025008	36	1.5563025008	34.32				?	52.02	10545	4.0230465841	1489.2	3.1729530275	15.704	1.1960102866	0.4362222222				79.32	1.8993827055	15982	4.2036311263	1.217	0.0852905782	0.0338055556	0.0338055556	1.26	0.1003705451			0.035	0.035	1.8	0.2552725051	0.05	0.05	7	5.1428571429	
Trichoderma reesei	Fungi		34	1.531478917	34	1.531478917	33.16				?		9143	3.9610887198	1551.42	3.1907293858	14.185	1.1518293401	0.4172058824		507	2.7050079593	119.64	2.0778764044							0.19182	-0.7171061133			0.0056417647	0.0056417647					6	5.6666666667	
Trichoderma virens	Fungi		38.8	1.5888317256	38.8	1.5888317256	NA				?		12518	4.0975349472	1508.95	3.1786748494	18.889	1.2762089666	0.4868298969		515	2.711807229	104.95	2.0209824429							0.187803	-0.7262974745			0.0048402835	0.0048402835					5	7.76	
Trichoderma atroviride	Fungi		36.1	1.5575072019	36.1	1.5575072019	37.37				?		11865	4.0742677426	1604.46	3.2053288944	19.037	1.2795985099	0.5273407202		561	2.7489628613	104.2	2.017867719							0.17887	-0.747462493			0.0049548476	0.0049548476							
Phanerochaete chrysosporium	Fungi		29.9	1.4756711883	29.9	1.4756711883	31.33				?	53.2	11777	4.0710346751	1366	3.1354506993	16.087	1.2064750618	0.5380267559		232	2.3654879849	117	2.0681858617	66439	4.8224230871	4.056	0.6080979463	0.1356521739	0.1356521739											8	3.7375	
Puccinia striiformis f. sp. tritici PST 130	Fungi		78.8	1.8965262175	64.8	1.8115750059			14	1.1461280357	17.7664974619		22815	4.3582204731																	11.5344	1.0619950082			0.1463756345	0.178	14.026	1.1469338346	0.2164506173	0.1779949239			75
Puccinia striiformis f. sp. tritici  Pst CY32	Fungi		110	2.0413926852	110	2.0413926852					?	44.77	25288	4.4029144828	1295.56	3.1124575308	29.38	1.4680517915	0.2670909091		297.83	2.4739684415	101.41	2.0060807827							50.688	1.7049051556			0.4608	0.4608	53.801	1.730790348	0.4891	0.4891			12
Nosema ceranae	Fungi		7.86	0.895422546	7.86	0.895422546	NA				?	26	2614	3.4173055832											6	0.7781512504																	
Pyronema confluens	Fungi		50	1.6989700043	50	1.6989700043	NA				?	47.8	13369	4.1260989233	1093	3.0386201619	14.6	1.1643528558	0.292												3.044	0.4834446481			0.06088	0.06088	6.021	0.7796686272	0.12042	0.12042			
Octosporea bayeri	Fungi		13.3	1.123851641	13.3	1.123851641	NA				?	26	2174	3.3372595398	1056	3.0236639182	2.295	0.3607826899	0.172556391				28.7	1.4578818967	6	0.7781512504	0.000172	-3.7644715531	1.29323308270677E-05	1.29323308270677E-05													
Rhizopus oryzae	Fungi		45.3	1.656098202	45.3	1.656098202	40.37				?	35.6	13895	4.1428585511	1023	3.0098756337	17.67	1.2472365495	0.3900662252		310	2.4913616938	79	1.8976270913	40514	4.6076051238	3.2	0.5051499783	0.0706401766	0.0706401766	9	0.9542425094			0.1986754967	0.1986754967	15.739	1.1969771354	0.3474392936	0.3474392936	15	3.02	
Dothistroma septosporum	Fungi		30.2	1.480006943	30.2	1.480006943	NA				?	53.1	12580	4.0996806411																	0.834	-0.0788339494			0.027615894	0.027615894	0.9664	-0.0148430787	0.032	0.032	14	2.1571428571	
Cladosporium fulvum	Fungi		61.1	1.7860412102	61.1	1.7860412102	NA				?	48.8	14127	4.1500499452																	27.59	1.4407517005			0.4515548282	0.4515548282	28.84	1.459995256	0.4720130933	0.4720130933	14	4.3642857143	
Orpinomyces sp. C1A	Fungi		100.95	2.0041063233	100.95	2.0041063233	NA				?	17	16347	4.2134380626	1272.14	3.1045349084	20.79	1.3178544893	0.2059435364				163	2.2121876044	35697	4.5526317192	5.148	0.7116385382	0.0509955423	0.0509955423	3.34	0.5237464668			0.033085686	0.033085686	8.2879	0.9184445023	0.0820990589	0.0820990589			
Tolypocladium inflatum	Fungi		30.45	1.483587297	30.45	1.483587297	NA				?	58	9998	3.9999131324							570	2.7558748557	77.5	1.8893017025	21996	4.342343711	1.7046	0.2316224841	0.0559802956	0.0559802956	0.107	-0.9706162223			0.0035139573	0.0035139573	0.378	-0.4225082002	0.0124137931	0.0124137931	6	5.075	
Sordaria macrospora	Fungi		39.9	1.6009728957	39.9	1.6009728957	38.7				?	52.4	10789	4.0329811931	1432	3.155943018	15.32	1.1852587653	0.3839598997																						7	5.7	
Moniliophthora perniciosa	Fungi		38.9	1.5899496013	38.9	1.5899496013	35.99				?	47.7	16329	4.212959589							166	2.220108088	63	1.7993405495													7.4	0.8692317197	0.1902313625	0.1902313625			
Neosartorya fischeri	Fungi		32.55	1.5125509929	32.55	1.5125509929	NA				?	49	10407	4.0173255546	1466	3.1661339703	15.29	1.1844074854	0.4697388633																						8	4.06875	
Aspergillus fumigatus  A1163	Fungi		29.21	1.465531557	29.21	1.465531557					?	49	9906	3.9958983236	1455	3.1628629933	14.31	1.1556396338	0.4899007189																						8	3.65125	
Aspergillus clavatus 	Fungi		27.89	1.4454485143	27.89	1.4454485143	31.43				?	49	9125	3.9602328731	1483	3.171141151	13.67	1.1357685146	0.4901398351																						8	3.48625	
Aspergillus fumigatus  Af293	Fungi		27.98	1.4468477102	27.98	1.4468477102					?	50	9926	3.9967742709	1444.8	3.159807733	13.71	1.1370374548	0.489992852		516	2.7126497016	112	2.0492180227	17867	4.2520516374	2.001	0.3012470886	0.0715153681	0.0715153681											8	3.4975	
Ganoderma lucidum Hengshan	Fungi		39.9	1.6009728957	39.9	1.6009728957	NA				?	55.56	12080	4.0820669343	1437.5	3.1576078534	17.335	1.238923846	0.4344611529		230	2.361727836	100	2							1.8353	0.2637070646			0.0459974937	0.0459974937	2.025	0.3064250276	0.0507518797	0.0507518797	13	3.0692307692	
Ganoderma lucidum 260125-1	Fungi		43.3	1.6364878964	43.3	1.6364878964	NA				?	55.9	16113	4.2071764071	1188	3.0748164406	19.142	1.2819873119	0.4420785219		268	2.428134794	87	1.9395192526							1.67	0.2227164711			0.0385681293	0.0385681293	3.528	0.5475285765	0.08147806	0.08147806	13	3.3307692308	
Taphrina deformans	Fungi		13.3	1.123851641	13.3	1.123851641	NA				?	49.5	5735	3.7585334222	1492	3.1737688231	8.5566	0.9323012303	0.6433533835				78	1.8920946027							0.134	-0.8728952016			0.010075188	0.010075188	0.1995	-0.7000571	0.015	0.015			
Eremothecium coryli CBS 5749	Fungi		9.1	0.9590413923	9.1	0.9590413923					?	41.57	4682	3.6704314094																											6	1.5166666667	
Ustilaginoidea virens	Fungi		39.4	1.5954962218	39.4	1.5954962218	51.2				?	49.96	8426	3.9256214548	1414.4	3.1505722477	11.918	1.0762033811	0.3024873096		544	2.7355988997	133	2.123851641							7.092	0.8507687269			0.18	0.18	9.85	0.9934362305	0.25	0.25			
Pyrenochaeta lycopersici	Fungi		54.9	1.7395723445	54.9	1.7395723445	NA				?	39.4	17411	4.2408237155	2015	3.3042750505	35.083	1.5450967235	0.6390346084		676.6	2.8303319935																					
